ZO6335,ZO6335.xml,Fri Apr 17 10:05:26 AEST 2020,,,,,,
FastTracks: v3.0.16,,,,,,,,
Pixel Calibration X:,0.087301587,,,,,,,
Pixel Calibration Y:,0.087301587,,,,,,,
Grain/Mica,Tracks,Area(cm2),Density(tracks/cm2),Average DPar(µmm),DPar Std Deviation,Notes,Cl,rmr0
Grain01,58,5.04E-05,1.15E+06,1.74,0.137479905,probable overcount,0.59,0.797905537
Grain02,22,4.13E-05,5.33E+05,1.64,0.314752955,possible overount,0.949,0.783969021
Grain03,65,6.35E-05,1.02E+06,1.79,0.312302129,,0.633,0.801252352
Grain04,0,0.00E+00,�,,0,"dpars way off, not counting",0.6,0.800581472
Grain05,36,3.36E-05,1.07E+06,1.66,0.127907443,,0.515,0.801004294
Grain06,57,4.70E-05,1.21E+06,2.19,0.388876396,,0.758,0.792835537
Grain07,30,2.92E-05,1.03E+06,2.11,0.051053167,,0.43,0.811754423
Grain08,43,5.46E-05,7.88E+05,1.73,0.1741572,zoned?,0.334,0.816382308
Grain09,39,5.02E-05,7.77E+05,2.29,0.394412311,,1.055,0.772988529
Grain10,43,5.24E-05,8.21E+05,1.99,0.119104779,possible overcount,0.966,0.775948297
Grain11,43,3.39E-05,1.27E+06,1.72,0,,0.579,0.79412844
Grain12,22,3.10E-05,7.10E+05,1.56,0.110394165,,0.37,0.805877695
Grain13,25,2.52E-05,9.92E+05,1.55,0.309701634,,0.617,0.796818341
Grain14,29,2.84E-05,1.02E+06,1.85,0.087253073,,0.702,0.793501496
Grain15,28,2.77E-05,1.01E+06,1.85,0.223103393,,0.643,0.796395061
Grain16,19,3.56E-05,5.34E+05,1.85,0,,0.554,0.801258967
Grain17,30,4.80E-05,6.25E+05,1.87,0.074946015,,0.454,0.802212895
Grain18,44,4.85E-05,9.08E+05,1.96,0.012367827,,0.356,0.807307049
Grain19,25,3.47E-05,7.22E+05,1.93,0.117115398,,0.607,0.792620548
Grain20,25,5.23E-05,4.79E+05,1.76,0.298841369,,0.459,0.80459151
Grain21,16,2.44E-05,6.55E+05,1.8,0,dpars off,0.52,0.800588231
Grain22,13,1.74E-05,7.46E+05,1.99,0.055479801,,0.712,0.79467732
Grain23,36,2.82E-05,1.28E+06,1.67,0.167526492,,0.787,0.793418976
Grain24,15,3.20E-05,4.69E+05,1.68,0.195106736,,0.696,0.796699688
Grain25,28,3.40E-05,8.23E+05,1.79,0.190795044,,0.637,0.792455065
Grain26,23,2.46E-05,9.36E+05,1.71,0.061409186,,0.654,0.796225085
Grain27,25,2.44E-05,1.03E+06,1.9,0.12314557,,0.5,0.802310344
Grain28,13,1.94E-05,6.72E+05,2.06,0.056373693,,0.952,0.784393571
Grain29,19,2.94E-05,6.47E+05,1.54,0.222548362,,0.355,0.817562409
Grain30,22,3.10E-05,7.10E+05,1.84,0.276008678,,0.354,0.811940557
Grain31,25,2.44E-05,1.02E+06,1.83,0.213726668,,0.381,0.806831359
Grain32,23,2.73E-05,8.43E+05,2.01,0.089957481,,0.589,0.800796416
Grain33,23,2.83E-05,8.14E+05,1.44,0.086008229,dpars off,0.851,0.783273919
Grain34,21,4.37E-05,4.81E+05,1.67,0.137087262,,0.8,0.781009192
Grain35,30,4.87E-05,6.17E+05,1.91,0.275839773,,0.796,0.786527744
Grain36,32,4.48E-05,7.15E+05,2.16,0.11496158,,0.735,0.785723036
Grain37,19,2.70E-05,7.04E+05,1.79,0.174498966,,0.642,0.798236858
Grain38,17,2.05E-05,8.29E+05,1.86,0.09287085,,0.647,0.798924603
Grain39,28,2.47E-05,1.13E+06,1.69,0,,0.659,0.794195739
Grain40,25,4.15E-05,6.03E+05,1.83,0.266189357,,0.355,0.819445115
Grain41,29,3.58E-05,8.10E+05,1.95,0.04005467,,0.97,0.780143987